signals,symbols,forward_5d_mean,forward_5d_median,positive_rate,mfe_5d_mean,mae_5d_mean,filter,conditions,holdout_symbols,raw_signals,raw_5d_mean,raw_5d_median,raw_positive_rate,mean_lift_vs_raw,median_lift_vs_raw,positive_rate_lift_vs_raw
309,9,0.002032088899566627,0.0035671151307474,0.5501618122977346,0.032605594869040085,-0.03198998498990807,OBV_BULL_DIVERGENCE,OBV_BULL_DIV,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,0.0015360542287811206,0.0020555667354639,0.026869886831896173
87,9,-0.003855119509145056,0.0049805110437417,0.5632183908045977,0.03289807918038789,-0.03576789165165469,BREAKOUT20_ATR25,BREAKOUT_20 + BREAKOUT20_ATR_GE_025,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.004351154179930563,0.0034689626484582002,0.03992646533875921
338,9,-0.004065489566111356,-0.00175814928232295,0.4911242603550296,0.027033167780267903,-0.03224070023626153,TREND_2150_BULL,TREND_2150_BULL,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.004561524236896862,-0.0032696976776064503,-0.032167665110808874
332,9,-0.002765113380559433,-0.0019610481400131998,0.4879518072289157,0.029079350302949645,-0.03285454934792095,RSI_GT_50,RSI_GT_50,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.0032611480513449393,-0.0034725965352967,-0.03534011823692279
21,8,0.0028854143387077365,0.0094246031746032,0.6190476190476191,0.03195718735389591,-0.025892169702893642,EMA38_TREND_VOLUME,EMA38_CROSSOVER + TREND_2150_BULL + REL_VOLUME_GE_1,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,0.00238937966792223,0.0079130547793197,0.0957556935817806
234,9,-0.004264278384531657,-0.0024174342051650997,0.47435897435897434,0.028318527050541747,-0.03289703627686917,RSI_GT_55,RSI_GT_55,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.004760313055317164,-0.0039289826004486,-0.04893295110686413
222,9,-0.0074745869338555745,-0.0047885270102868,0.43243243243243246,0.026031993374711987,-0.034453992934118674,TREND_STACK,TREND_STACK,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.007970621604641081,-0.0063000754055703,-0.09085949303340601
409,9,0.0018404851585695809,0.0020763499667513,0.530562347188264,0.032952014234991125,-0.031665926011739655,MACD_HIST_GT_0,MACD_HIST_GT_0,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,0.0013444504877840745,0.0005648015714677999,0.007270421722425535
539,9,-0.002337836815579851,0.0001477104874445,0.5009276437847866,0.029161685137826944,-0.03304810959091334,TREND_50200_BULL,TREND_50200_BULL,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.0028338714863653572,-0.001363837907839,-0.022364281681051867
145,9,-0.001972696215557239,0.0030442046838274,0.5517241379310345,0.03207640183118569,-0.03373474768384865,BREAKOUT_20,BREAKOUT_20,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.0024687308863427454,0.0015326562885439,0.028432212465196005
126,8,-0.0028791693194226238,0.0021397590974492,0.5396825396825397,0.030846519212396933,-0.03446162793209383,BREAKOUT20_TREND,BREAKOUT_20 + TREND_50200_BULL,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.00337520399020813,0.0006282107021656999,0.016390614216701183
93,8,0.0008066675612991958,0.0003703734187112,0.5053763440860215,0.024782511740706236,-0.028489826428279418,BULL_DIV_RSI_TREND,BULL_RSI_DIV + TREND_50200_BULL,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,0.0003106328905136894,-0.0011411749765723,-0.01791558137981697
105,9,-0.0006653724880707622,0.0030442046838274,0.5619047619047619,0.032364825988978725,-0.03289849020476325,BREAKOUT_50,BREAKOUT_50,"MSFT,NVDA,QQQ,RTX,SLV,SPY,TSLA,WMT,XOM",644,0.0004960346707855064,0.0015115483952835,0.5232919254658385,-0.0011614071588562686,0.0015326562885439,0.03861283643892344
