signals,symbols,forward_5d_mean,forward_5d_median,positive_rate,mfe_5d_mean,mae_5d_mean,filter,conditions,period,period_start,period_end,raw_signals,raw_5d_mean,raw_5d_median,raw_positive_rate,mean_lift_vs_raw,median_lift_vs_raw,positive_rate_lift_vs_raw
83,25,-0.0004853235498894713,0.0016496357054485,0.5060240963855421,0.038931385612973796,-0.03947870853065904,REL_VOLUME_GE_1_5,REL_VOLUME_GE_1_5,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,0.0011466933642593296,0.0040486679208165,0.02621043178926885
225,21,-0.005990620449340005,-0.0066892575804251,0.39555555555555555,0.02781065452611821,-0.036509881254709074,BULL_MACD_DIVERGENCE,BULL_MACD_DIV,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,-0.004358603535191204,-0.0042902253650571,-0.08425810904071773
64,22,-0.0034655593666970347,-0.0037695271757304,0.46875,0.024326832720126333,-0.03286664135250965,EMA38_TREND,EMA38_CROSSOVER + TREND_2150_BULL,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,-0.0018335424525482338,-0.0013704949603623997,-0.011063664596273282
317,24,-0.004137116485675318,-0.002327981903235,0.4889589905362776,0.027932616311024505,-0.035580959334776945,OBV_BULL_DIVERGENCE,OBV_BULL_DIV,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,-0.0025050995715265173,7.105031213300002e-05,0.009145325940004334
100,21,0.0036067420095198875,0.0053387665609049995,0.54,0.038819014332428105,-0.03741246715381492,BREAKOUT20_ATR25,BREAKOUT_20 + BREAKOUT20_ATR_GE_025,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,0.005238758923668688,0.007737798776273,0.060186335403726754
389,25,-0.0002503607615934059,0.0001477104874445,0.5012853470437018,0.03062510709165674,-0.0336331542375235,TREND_2150_BULL,TREND_2150_BULL,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,0.0013816561525553952,0.0025467427028125,0.021471682447428475
352,27,-0.0014212000570795532,-0.00291688201569515,0.48295454545454547,0.030443241511737475,-0.03530770228903288,RSI_GT_50,RSI_GT_50,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,0.00021081685706924778,-0.00051784980032715,0.003140880858272188
28,14,-0.002487418590124621,0.0030633083369857503,0.5357142857142857,0.026661195419835117,-0.030501330211227248,EMA38_TREND_VOLUME,EMA38_CROSSOVER + TREND_2150_BULL + REL_VOLUME_GE_1,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,-0.00085540167597582,0.005462340552353751,0.05590062111801242
254,26,0.0010787567563951335,-0.00138452616634725,0.49606299212598426,0.032609866583704475,-0.03358576363364974,RSI_GT_55,RSI_GT_55,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,0.0027107736705439343,0.00101450604902075,0.016249327529710977
263,24,0.0007668841148439668,-0.002327981903235,0.49049429657794674,0.031826735163932036,-0.03426737322651296,TREND_STACK,TREND_STACK,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,0.0023989010289927675,7.105031213300002e-05,0.01068063198167346
345,27,0.00015362441465072764,-0.0009172690627865,0.48695652173913045,0.03232108347150627,-0.03563074263299403,MACD_HIST_GT_0,MACD_HIST_GT_0,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,0.0017856413287995285,0.0014817631525815,0.007142857142857173
579,26,-0.001701380168081117,-0.0023748776456619,0.48186528497409326,0.03000120162525279,-0.035327721401200336,TREND_50200_BULL,TREND_50200_BULL,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,-6.936325393231595e-05,2.4154569706100193e-05,0.0020516203778199738
148,24,0.0062327059044385595,0.0067786975747973505,0.5675675675675675,0.03889165799024332,-0.034531489078416445,BREAKOUT_20,BREAKOUT_20,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,0.00786472281858736,0.00917772979016535,0.08775390297129426
138,23,0.006053202775484801,0.00558343896476975,0.5579710144927537,0.03935583688483267,-0.035100099707956314,BREAKOUT20_TREND,BREAKOUT_20 + TREND_50200_BULL,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,0.007685219689633602,0.00798247118013775,0.07815734989648038
91,15,-0.011915402326058791,-0.0079234526664742,0.3516483516483517,0.02397249986100352,-0.038690196714361184,BULL_DIV_RSI_TREND,BULL_RSI_DIV + TREND_50200_BULL,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,-0.010283385411909991,-0.0055244204511062,-0.1281653129479216
136,21,0.005897560786591598,0.0067786975747973505,0.5735294117647058,0.03934891056840836,-0.035315769119408945,BREAKOUT_50,BREAKOUT_50,Q1_2026,2026-01-01,2026-03-31,644,-0.001632016914148801,-0.002399032215368,0.4798136645962733,0.007529577700740399,0.00917772979016535,0.09371574716843256
39,16,-0.003128118762547577,0.0030983084910398,0.5384615384615384,0.030445533626101237,-0.03670741182392427,BULL_DIV_RSI_VOLUME,BULL_RSI_DIV + REL_VOLUME_GE_1,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.008509968240187986,-0.0024326649602875,-0.03613225769798889
26,16,-0.024852901537215002,-0.011098575675988,0.38461538461538464,0.03436995039589883,-0.05705145133416082,BREAKOUT20_VOLUME_ATR,BREAKOUT_20 + REL_VOLUME_GE_1_5 + BREAKOUT20_ATR_GE_025,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.03023475101485541,-0.016629549127315298,-0.1899784115441427
21,15,0.023419458524234,0.0245879066839764,0.7142857142857143,0.04317203865525265,-0.019975685015020794,EMA38_MACD_VOLUME,EMA38_CROSSOVER + MACD_HIST_GT_0 + REL_VOLUME_GE_1,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,0.018037609046593593,0.0190569332326491,0.13969191812618698
26,14,-0.030960619176265233,-0.01623604934209675,0.3076923076923077,0.033247587934138775,-0.062162854391029906,BREAKOUT20_TREND_VOLUME,BREAKOUT_20 + TREND_50200_BULL + REL_VOLUME_GE_1_5,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.03634246865390564,-0.02176702279342405,-0.2669014884672196
42,22,0.025258971755424124,0.02401579554873915,0.7142857142857143,0.04644781066992996,-0.020663321591947354,EMA38_MACD,EMA38_CROSSOVER + MACD_HIST_GT_0,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,0.019877122277783717,0.01848482209741185,0.13969191812618698
30,16,-0.030835970102197033,-0.01623604934209675,0.3333333333333333,0.03267676432278311,-0.061065628386541435,BREAKOUT20_VOL15,BREAKOUT_20 + REL_VOLUME_GE_1_5,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.03621781957983744,-0.02176702279342405,-0.241260462826194
306,27,-0.00041650636961728543,0.00213453129594305,0.5228758169934641,0.032710701632385424,-0.034592821537416774,REL_VOLUME_GE_1,REL_VOLUME_GE_1,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.0057983558472576935,-0.00339644215538425,-0.051717979166063244
100,27,0.006341059425819045,0.004390793542368951,0.54,0.03838904434219542,-0.03004966565786281,EMA38_CROSSOVER,EMA38_CROSSOVER,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,0.0009592099481786371,-0.0011401799089583494,-0.03459379615952729
86,25,0.0013190899484628248,0.0019408822387585,0.5232558139534884,0.032573104726035335,-0.03075789833408018,EMA38_REGIME,EMA38_CROSSOVER + TREND_50200_BULL,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.004062759529177584,-0.0035900912125688,-0.05133798220603891
115,21,0.004568267238537522,0.0087279104276272,0.6434782608695652,0.030869762192694168,-0.028689553936965807,BULL_RSI_DIVERGENCE,BULL_RSI_DIV,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.0008135822391028861,0.0031969369762998995,0.06888446471003784
83,26,-0.010768587011929431,-0.0035294117647058,0.4457831325301205,0.03395241505839917,-0.044974864224386554,REL_VOLUME_GE_1_5,REL_VOLUME_GE_1_5,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.01615043648956984,-0.0090603852160331,-0.12881066362940685
197,23,0.003979664075508841,0.0051076952729725,0.5685279187817259,0.033227760428052526,-0.029473720632539255,BULL_MACD_DIVERGENCE,BULL_MACD_DIV,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.001402185402131567,-0.0004232781783547997,-0.006065877377801399
54,22,-0.0027634255080105246,-0.00328243284921805,0.48148148148148145,0.031850495966439574,-0.03237933576224205,EMA38_TREND,EMA38_CROSSOVER + TREND_2150_BULL,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.008145274985650933,-0.00881340630054535,-0.09311231467804587
284,27,0.012058597616687516,0.011240682807802299,0.5880281690140845,0.03871876020271619,-0.02891442099788061,OBV_BULL_DIVERGENCE,OBV_BULL_DIV,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,0.006676748139047108,0.005709709356474999,0.013434372854557175
133,26,-0.003024785197164338,0.0028795536691814,0.5639097744360902,0.031211719131610232,-0.03375075558689315,BREAKOUT20_ATR25,BREAKOUT_20 + BREAKOUT20_ATR_GE_025,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.008406634674804746,-0.0026514197821459,-0.010684021723437076
341,25,-0.003677606592157097,0.0020763499667513,0.530791788856305,0.028459944393517636,-0.0347398894271951,TREND_2150_BULL,TREND_2150_BULL,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.009059456069797505,-0.003454623484576,-0.04380200730322237
416,27,0.0018100275403291686,0.0033426090136178003,0.5480769230769231,0.0313457765000617,-0.03153680692510668,RSI_GT_50,RSI_GT_50,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.0035718219373112397,-0.0021883644377094997,-0.026516873082604198
25,14,0.008273268927234855,0.0132089016511125,0.6,0.036801348658788785,-0.0241361960059908,EMA38_TREND_VOLUME,EMA38_CROSSOVER + TREND_2150_BULL + REL_VOLUME_GE_1,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,0.002891419449594447,0.007677928199785199,0.025406203840472652
293,26,0.0006400193615723079,0.0034323132010525,0.5631399317406144,0.03101673781161291,-0.031373649164772394,RSI_GT_55,RSI_GT_55,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.0047418301160681,-0.0020986602502748,-0.01145386441891294
234,24,-0.00560764844303556,0.0013210081633279998,0.5128205128205128,0.027056959648826713,-0.03508252345509322,TREND_STACK,TREND_STACK,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.010989497920675969,-0.0042099652879993,-0.06177328333901455
440,27,0.005824815737052824,0.00687285591509895,0.5886363636363636,0.033011857711305825,-0.028963848818755727,MACD_HIST_GT_0,MACD_HIST_GT_0,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,0.0004429662594124155,0.0013418824637716504,0.014042567476836298
603,25,0.0016725477271518005,0.0051393330287803,0.5621890547263682,0.030796443886490527,-0.030889217062528704,TREND_50200_BULL,TREND_50200_BULL,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.003709301750488608,-0.0003916404225470004,-0.012404741433159172
207,27,-0.0022409672281134886,0.0031432825495181,0.5603864734299517,0.029900842569203105,-0.032288820667864815,BREAKOUT_20,BREAKOUT_20,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.007622816705753897,-0.0023876909018092,-0.014207322729575589
188,25,-0.00414019233268402,0.00309374361667275,0.5478723404255319,0.027955974196466664,-0.032962934539406484,BREAKOUT20_TREND,BREAKOUT_20 + TREND_50200_BULL,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.009522041810324428,-0.00243722983465455,-0.026721455733995425
104,18,0.006328401596670492,0.0108730899209208,0.6826923076923077,0.029893507965151625,-0.026947303687396805,BULL_DIV_RSI_TREND,BULL_RSI_DIV + TREND_50200_BULL,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,0.0009465521190300833,0.0053421164695935,0.10809851153278038
133,20,0.0006121288566226585,0.0071628039707292,0.6390977443609023,0.03114635906215613,-0.031458116156472274,BREAKOUT_50,BREAKOUT_50,Q2_2026,2026-04-01,2026-06-30,677,0.005381849477640408,0.0055309734513273,0.5745937961595273,-0.00476972062101775,0.0016318305194018999,0.06450394820137495
17,9,0.014781603543834947,0.0069478559898938,0.5882352941176471,0.0357069692936329,-0.030478272498027984,BULL_DIV_RSI_VOLUME,BULL_RSI_DIV + REL_VOLUME_GE_1,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,0.012628755219165927,0.0056507965540605,0.08025657071339176
18,10,0.011182845043507873,0.006677895846659249,0.6666666666666666,0.036768294488525616,-0.02460087265959901,BREAKOUT20_VOLUME_ATR,BREAKOUT_20 + REL_VOLUME_GE_1_5 + BREAKOUT20_ATR_GE_025,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,0.009029996718838853,0.00538083641082595,0.1586879432624113
16,13,0.00679243300955258,-0.0148686975549913,0.4375,0.046080527383113204,-0.03873143538346856,EMA38_MACD_VOLUME,EMA38_CROSSOVER + MACD_HIST_GT_0 + REL_VOLUME_GE_1,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,0.00463958468488356,-0.0161657569908246,-0.07047872340425532
8,5,-0.021724426930854697,-0.017569026204087998,0.25,0.017351015272065153,-0.045279021380416146,BREAKOUT20_TREND_VOLUME,BREAKOUT_20 + TREND_50200_BULL + REL_VOLUME_GE_1_5,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.023877275255523717,-0.018866085639921298,-0.2579787234042553
36,17,-0.0011815037310209464,-0.0110611007372981,0.4166666666666667,0.03650686446239225,-0.035719639751521544,EMA38_MACD,EMA38_CROSSOVER + MACD_HIST_GT_0,Q3_2026,2026-07-01,2026-08-25,376,0.0021528483246690193,0.0012970594358333002,0.5079787234042553,-0.0033343520556899657,-0.0123581601731314,-0.09131205673758863
