signals,symbols,forward_5d_mean,forward_5d_median,positive_rate,mfe_5d_mean,mae_5d_mean,filter,conditions,regime,raw_signals,raw_5d_mean,raw_5d_median,raw_positive_rate,mean_lift_vs_raw,median_lift_vs_raw,positive_rate_lift_vs_raw
24,7,0.021235325604826754,0.008175846478263901,0.6666666666666666,0.057841047417504475,-0.029894075380153037,REL_VOLUME_GE_1_5,REL_VOLUME_GE_1_5,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,0.005886164178270228,0.0030054287275356013,0.08447488584474883
56,7,0.011908802336143874,0.0034669995192002,0.5892857142857143,0.0415987594070195,-0.03207510778984909,BULL_MACD_DIVERGENCE,BULL_MACD_DIV,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.003440359090412652,-0.0017034182315281,0.007093933463796498
4,2,-0.009446907632642425,-0.0118978374261804,0.25,0.0362860568514482,-0.021580446725004077,EMA38_TREND,EMA38_CROSSOVER + TREND_2150_BULL,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.024796069059198952,-0.0170682551769087,-0.3321917808219178
70,6,0.018076155885646577,0.0039561734847701,0.5571428571428572,0.046171759948228974,-0.026830018033568624,OBV_BULL_DIVERGENCE,OBV_BULL_DIV,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,0.0027269944590900506,-0.0012142442659581996,-0.025048923679060642
23,7,0.00906912918582454,0.009403836966634,0.6956521739130435,0.041210596187546765,-0.02815965455139059,BREAKOUT20_ATR25,BREAKOUT_20 + BREAKOUT20_ATR_GE_025,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.006280032240731986,0.004233419215905701,0.11346039309112566
21,4,-0.01001362844868349,-0.003440906950632,0.47619047619047616,0.02680974324196785,-0.03156826081763139,TREND_2150_BULL,TREND_2150_BULL,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.025362789875240016,-0.0086113247013603,-0.10600130463144164
72,7,0.01784924011947463,0.0063701851977303,0.5833333333333334,0.047117230349640736,-0.02786977974075016,RSI_GT_50,RSI_GT_50,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,0.002500078692918104,0.0011997674470019997,0.0011415525114155667
3,2,-0.0062508157288849,-0.0106197349110785,0.3333333333333333,0.047435040674490635,-0.0156206052966792,EMA38_TREND_VOLUME,EMA38_CROSSOVER + TREND_2150_BULL + REL_VOLUME_GE_1,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.021599977155441426,-0.0157901526618068,-0.2488584474885845
49,7,0.008212874750360867,0.0057925144055668,0.6122448979591837,0.03974359736682635,-0.029912634331246697,RSI_GT_55,RSI_GT_55,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.007136286676195659,0.0006220966548385002,0.030053117137265883
21,4,-0.01001362844868349,-0.003440906950632,0.47619047619047616,0.02680974324196785,-0.03156826081763139,TREND_STACK,TREND_STACK,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.025362789875240016,-0.0086113247013603,-0.10600130463144164
106,8,0.01731650681837761,0.00872613500753345,0.6037735849056604,0.04414967183990366,-0.026358043356274913,MACD_HIST_GT_0,MACD_HIST_GT_0,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,0.001967345391821085,0.003555717256805151,0.02158180408374255
0,0,,,,,,TREND_50200_BULL,TREND_50200_BULL,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,,,
33,7,0.004912697372204234,0.0080484330484329,0.6666666666666666,0.035914618222278996,-0.028205355712082145,BREAKOUT_20,BREAKOUT_20,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.010436464054352293,0.002878015297704601,0.08447488584474883
0,0,,,,,,BREAKOUT20_TREND,BREAKOUT_20 + TREND_50200_BULL,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,,,
0,0,,,,,,BULL_DIV_RSI_TREND,BULL_RSI_DIV + TREND_50200_BULL,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,,,
17,5,-0.013598524103759528,0.0016840802859499,0.5882352941176471,0.024260024715500154,-0.038052782928481736,BREAKOUT_50,BREAKOUT_50,BEAR_HIGH_VOL,146,0.015349161426556526,0.0051704177507283,0.5821917808219178,-0.028947685530316056,-0.0034863374647783997,0.006043513295729275
2,2,0.058049655904182755,0.058049655904182755,1.0,0.06913244078264084,-0.0153553762545365,BULL_DIV_RSI_VOLUME,BULL_RSI_DIV + REL_VOLUME_GE_1,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,0.03457386948014547,0.03458330865016836,0.3163265306122449
4,2,0.031104626471356377,0.027179969060976403,1.0,0.04017788317030758,-0.009296612483403624,BREAKOUT20_VOLUME_ATR,BREAKOUT_20 + REL_VOLUME_GE_1_5 + BREAKOUT20_ATR_GE_025,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,0.007628840047319091,0.0037136218069620044,0.3163265306122449
4,4,0.08030452084200096,0.0776552868879164,0.75,0.11343803732463399,-0.033558326094060446,EMA38_MACD_VOLUME,EMA38_CROSSOVER + MACD_HIST_GT_0 + REL_VOLUME_GE_1,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,0.05682873441796367,0.054188939633902,0.06632653061224492
0,0,,,,,,BREAKOUT20_TREND_VOLUME,BREAKOUT_20 + TREND_50200_BULL + REL_VOLUME_GE_1_5,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,,,
16,8,0.030330975456099626,0.0248977721440293,0.625,0.05525012190803929,-0.023720611582485986,EMA38_MACD,EMA38_CROSSOVER + MACD_HIST_GT_0,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,0.00685518903206234,0.0014314248900149026,-0.058673469387755084
5,2,0.03073079628253672,0.0292354755272581,1.0,0.03804660418845458,-0.009521452342473,BREAKOUT20_VOL15,BREAKOUT_20 + REL_VOLUME_GE_1_5,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,0.0072550098584994345,0.0057691282732437,0.3163265306122449
26,8,0.0422214948801011,0.0447588020146958,0.8461538461538461,0.06547513114104589,-0.019564589557929057,REL_VOLUME_GE_1,REL_VOLUME_GE_1,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,0.018745708456063815,0.021292454760681402,0.16248037676609106
19,9,0.029351672842761616,0.0120334575851195,0.5789473684210527,0.06002170790168543,-0.02716146014364205,EMA38_CROSSOVER,EMA38_CROSSOVER,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,0.00587588641872433,-0.011432889668894898,-0.10472610096670243
0,0,,,,,,EMA38_REGIME,EMA38_CROSSOVER + TREND_50200_BULL,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,,,
20,6,0.00883485758834884,0.0161905509975538,0.65,0.04179730273014716,-0.02011668621587395,BULL_RSI_DIVERGENCE,BULL_RSI_DIV,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,-0.014640928835688446,-0.007275796256460597,-0.03367346938775506
7,3,0.01539925085956413,0.0292354755272581,0.8571428571428571,0.03523427758488334,-0.023936660133964144,REL_VOLUME_GE_1_5,REL_VOLUME_GE_1_5,BEAR_LOW_VOL,98,0.023475786424037286,0.0234663472540144,0.6836734693877551,-0.008076535564473157,0.0057691282732437,0.173469387755102
