exit_type,exit_time,return,mfe,mae,stop_hit,target_hit,ambiguous,holding_days,symbol,signal_time,entry_time,entry_price,policy,survivor
TIME_1D,2026-05-13 04:00:00+00:00,0.013336341653627848,0.021483330799150657,0.0,False,False,False,1,COST,2026-05-12 04:00:00+00:00,2026-05-13 04:00:00+00:00,1019.395,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-07-09 04:00:00+00:00,-0.021861875374989292,0.0010285420416560331,-0.027347432930487692,False,False,False,1,COST,2026-07-08 04:00:00+00:00,2026-07-09 04:00:00+00:00,933.36,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-01-26 05:00:00+00:00,0.006139108142751093,0.006813735411185462,-0.008264184038318745,False,False,False,1,CVX,2024-01-25 05:00:00+00:00,2024-01-26 05:00:00+00:00,148.23,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-07-15 04:00:00+00:00,0.00620643559629519,0.015372863553900551,-0.0037875171074827074,False,False,False,1,CVX,2024-07-12 04:00:00+00:00,2024-07-15 04:00:00+00:00,157.095,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-11-03 05:00:00+00:00,-0.021377294962200644,0.0005717552887365418,-0.02436312813671304,False,False,False,1,CVX,2025-10-31 04:00:00+00:00,2025-11-03 05:00:00+00:00,157.41,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-11-11 05:00:00+00:00,-0.004777678685182862,0.006179131099503188,-0.006848006115428684,False,False,False,1,CVX,2025-11-10 05:00:00+00:00,2025-11-11 05:00:00+00:00,156.98,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-06-14 04:00:00+00:00,0.007994031123427892,0.009806011511404922,-0.005515881475165241,False,False,False,1,DE,2024-06-13 04:00:00+00:00,2024-06-14 04:00:00+00:00,375.28,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-07-26 04:00:00+00:00,0.006364038626721191,0.014576121190036151,0.0,False,False,False,1,DE,2024-07-25 04:00:00+00:00,2024-07-26 04:00:00+00:00,384.19,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-08-16 04:00:00+00:00,0.010915657815530944,0.012708180054845863,-0.004855862484114737,False,False,False,1,DE,2024-08-15 04:00:00+00:00,2024-08-16 04:00:00+00:00,373.775,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-10-20 04:00:00+00:00,0.009380965366784899,0.01111535314971368,-0.003326970275429497,False,False,False,1,DE,2025-10-17 04:00:00+00:00,2025-10-20 04:00:00+00:00,458.375,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-01-07 05:00:00+00:00,-0.02354633244298332,0.004366139305526984,-0.02632011506061227,False,False,False,1,DE,2026-01-06 05:00:00+00:00,2026-01-07 05:00:00+00:00,486.7,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-06-03 04:00:00+00:00,0.014862325212503746,0.022681425541819733,-0.006879428955671618,False,False,False,1,DE,2026-06-02 04:00:00+00:00,2026-06-03 04:00:00+00:00,579.99,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-01-19 05:00:00+00:00,0.01213090455201482,0.01454928423762536,-0.0055778757264890455,False,False,False,1,GE,2024-01-18 05:00:00+00:00,2024-01-19 05:00:00+00:00,128.185,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-04-23 04:00:00+00:00,-0.009411764705882342,0.007365728900255775,-0.014731457800511438,False,False,False,1,GE,2025-04-22 04:00:00+00:00,2025-04-23 04:00:00+00:00,195.5,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-12-15 05:00:00+00:00,0.0024983344437041755,0.026115922718187967,-3.331112591598018e-05,False,False,False,1,GE,2025-12-12 05:00:00+00:00,2025-12-15 05:00:00+00:00,300.2,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-04-08 04:00:00+00:00,-0.006049362800451652,0.009711243748991683,-0.015002419745120066,False,False,False,1,GE,2026-04-07 04:00:00+00:00,2026-04-08 04:00:00+00:00,309.95,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-05-07 04:00:00+00:00,-0.017564935064935172,0.006266233766233809,-0.019935064935064917,False,False,False,1,GE,2026-05-06 04:00:00+00:00,2026-05-07 04:00:00+00:00,308.0,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-01-03 05:00:00+00:00,-0.00413071040039259,0.0009202077624637095,-0.004703284119258799,False,False,False,1,GLD,2025-01-02 05:00:00+00:00,2025-01-03 05:00:00+00:00,244.51,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-05-14 04:00:00+00:00,0.03322601819147941,0.04397837026849616,-0.002094208108023632,False,False,False,1,GOOGL,2025-05-13 04:00:00+00:00,2025-05-14 04:00:00+00:00,159.965,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2025-08-05 04:00:00+00:00,-0.0002568053415510363,0.016101694915254372,-0.004006163328197254,False,False,False,1,GOOGL,2025-08-04 04:00:00+00:00,2025-08-05 04:00:00+00:00,194.7,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-07-16 04:00:00+00:00,-0.050934172637782105,0.004968860912073936,-0.0561441103596062,False,False,False,1,GOOGL,2026-07-15 04:00:00+00:00,2026-07-16 04:00:00+00:00,373.325,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2026-08-03 04:00:00+00:00,0.022068984388895707,0.030729658361723367,-0.005486461711064594,False,False,False,1,GOOGL,2026-07-31 04:00:00+00:00,2026-08-03 04:00:00+00:00,365.445,TIME_1D,EMA38_MACD_VOLUME
TIME_1D,2024-01-31 05:00:00+00:00,-0.0068065943735603485,0.019125753772095466,-0.0068065943735603485,False,False,False,1,GS,2024-01-30 05:00:00+00:00,2024-01-31 05:00:00+00:00,386.39,TIME_1D,EMA38_MACD_VOLUME
