policy,signals,return_p05,return_p10,return_p25,return_p50,return_p75,return_p90,return_p95,mfe_p10,mfe_p25,mfe_p50,mfe_p75,mfe_p90,mae_p10,mae_p25,mae_p50,mae_p75,mae_p90,mae_le_minus_1pct,mae_le_minus_2pct,mae_le_minus_3pct,mfe_ge_1pct,mfe_ge_2pct,mfe_ge_3pct,mfe_ge_5pct
FIXED_SL2.0_TP6.0,158,-0.02000000000000013,-0.020000000000000018,-0.020000000000000018,-0.019999999999999907,0.0518199040916697,0.06000000000000005,0.06000000000000005,0.0016777791790590915,0.008737450474709252,0.026750981256056572,0.0557272846050082,0.0696224434079075,-0.036150508509907565,-0.02881086168679875,-0.022670616691309542,-0.009707450951433744,-0.004223002888876825,0.7468354430379747,0.5949367088607594,0.2088607594936709,0.7088607594936709,0.5949367088607594,0.44936708860759494,0.2848101265822785
FIXED_SL3.0_TP6.0,158,-0.030000000000000138,-0.030000000000000027,-0.030000000000000027,0.0036913250859537117,0.06000000000000005,0.06000000000000005,0.06000000000000005,0.0038812361547941434,0.010856478390670499,0.031737980986406455,0.060748580598366686,0.0696224434079075,-0.04503728151369822,-0.03582865092892579,-0.024880564927763527,-0.009707450951433744,-0.004223002888876825,0.7468354430379747,0.5949367088607594,0.4240506329113924,0.7784810126582279,0.6518987341772152,0.5189873417721519,0.3291139240506329
TIME_10D,158,-0.06927504725941218,-0.053346177263336424,-0.013734826067897749,0.01889410821683013,0.056206251281920416,0.08855984415924519,0.09723129789710094,0.007557239289916407,0.021282349562001146,0.04129399041078419,0.0712806075882042,0.10656033412118517,-0.07760915611901492,-0.044230405848197485,-0.025193622392399473,-0.01132965842791231,-0.00509074081030336,0.7721518987341772,0.6139240506329114,0.43670886075949367,0.879746835443038,0.7658227848101266,0.6139240506329114,0.4240506329113924
TIME_1D,158,-0.02490301093884433,-0.02062144184758541,-0.007183651696950011,0.0013079258287570505,0.011244769095820117,0.020206809593018817,0.023808420540794354,0.000963378226266487,0.004335432888118884,0.009671328486831499,0.016562739929548598,0.026234839581419016,-0.028500780121118407,-0.01738457785244582,-0.007860252769213816,-0.004009597516090008,-0.001054757324619348,0.4050632911392405,0.20253164556962025,0.0759493670886076,0.4810126582278481,0.1962025316455696,0.08860759493670886,0.0189873417721519
TIME_3D,158,-0.045540752385215516,-0.031987666294223074,-0.013558544212227158,0.00162113307459677,0.01994676474262591,0.036489609446012,0.048718795149265456,0.002548552542345606,0.008433512368721086,0.018020197408291305,0.03311256219485453,0.050528543863286916,-0.04737013465484058,-0.03008278225081376,-0.014933927454626073,-0.006299625075801479,-0.0032903626243808146,0.6139240506329114,0.4050632911392405,0.25316455696202533,0.6962025316455697,0.46835443037974683,0.3291139240506329,0.10759493670886076
TIME_5D,158,-0.062162795867224646,-0.041384711381140825,-0.015311192091832765,0.008086379632359586,0.02854192854533355,0.05093519540271481,0.07462963800243898,0.004920198048316205,0.012166985951527043,0.02860093371594885,0.04810870829738312,0.06989589330565663,-0.05786648767065546,-0.03551028601031869,-0.021454188358262127,-0.008956902746649564,-0.004223002888876825,0.7215189873417721,0.5189873417721519,0.33544303797468356,0.7911392405063291,0.6265822784810127,0.47468354430379744,0.22784810126582278
TRAIL_1.0,158,-0.009435661328834628,-0.008995602048610007,-0.005484773079531519,-0.0004253847980367764,0.006397112530252991,0.01597249118560476,0.024678194850573335,0.0010145433852423835,0.004560835273200448,0.009671328486831499,0.016562739929548598,0.026234839581419016,-0.028500780121118407,-0.01746769897664166,-0.008301181510914801,-0.004042253929462836,-0.001054757324619348,0.4177215189873418,0.20253164556962025,0.0759493670886076,0.4810126582278481,0.1962025316455696,0.08860759493670886,0.0189873417721519
TRAIL_1.5,158,-0.014422246123487215,-0.013429234847648009,-0.008993850852394514,-0.0038633275340891338,0.004759854465096414,0.015728738253051412,0.022913190661042252,0.001594685433859766,0.006097613347822828,0.01130626646285382,0.02006076595441253,0.031196688581778157,-0.03022899957199636,-0.01961171519098484,-0.010083604288198988,-0.004905333208880869,-0.0015926063206439592,0.5,0.22784810126582278,0.10126582278481013,0.569620253164557,0.25949367088607594,0.11392405063291139,0.0189873417721519
TRAIL_2.0,158,-0.019420085722439705,-0.018355776404522017,-0.012430868813038065,-0.0041360171209839924,0.007894236645795472,0.022901930670187424,0.030151799031926288,0.0016777791790590915,0.007723603252001943,0.016187737631649046,0.02812835585297141,0.04050884525538499,-0.03127687829164475,-0.0238121958284164,-0.01313377011092487,-0.005493816652089756,-0.0020136407920017443,0.6075949367088608,0.2974683544303797,0.11392405063291139,0.6582278481012658,0.4177215189873418,0.22784810126582278,0.05063291139240506
TRAIL_3.0,158,-0.02878900518573539,-0.026459833178882407,-0.019937939889185075,-0.00135807977296859,0.016655343454018035,0.0354140376995856,0.05358581219430106,0.003649656516616085,0.010251622509971803,0.0260836098008711,0.040140144099480024,0.06214229927544451,-0.0365923338462628,-0.02893374434394469,-0.016834417896355758,-0.00695669631739268,-0.0032903626243808146,0.6582278481012658,0.43670886075949367,0.22151898734177214,0.7531645569620253,0.5949367088607594,0.43670886075949367,0.15822784810126583
