timestamp_utc,experiment,universe_rule,symbol,rank,market_cap_usd,price_usd,volume_24h_usd,volume_market_cap,change_24h_pct,change_7d_pct,change_30d_pct,selected,reason,dry_run
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,OKB,41,2358916040,112.31,110460371,0.04682674971339802,5.2,4.6,36.6,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,TAO,42,2212729694,230.59,394225194,0.1781623824495935,6.5,16.9,18.9,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,USDY,43,2155054522,1.14,690918,0.00032060348958540177,,-0.3,-0.2,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,RLUSD,44,2073982334,1.0,1157943696,0.5583189774653115,,,,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,PAXG,45,1986004484,4583.42,234063723,0.11785659341945373,1.4,4.8,11.5,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,WLFI,46,1969700469,0.062074,228695974,0.11610698052791092,3.4,10.6,13.8,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,ONDO,47,1899145577,0.390673,350075349,0.1843330775900809,6.8,18.5,-4.3,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,AAVE,48,1862790741,120.89,805888099,0.43262406305894346,19.5,38.8,24.7,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,ASTER,49,1822148156,0.676242,302358011,0.16593492137529567,2.5,13.3,9.5,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,PUMP,50,1805511274,0.00461562,476647810,0.26399603085502527,9.9,54.7,124.2,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,PEPE,51,1731361433,4.12e-06,1227338587,0.7088864078907781,23.3,53.2,43.4,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,MNT,52,1651444396,0.500016,66106422,0.040029456735036203,-1.4,14.6,20.8,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,DOT,53,1632748191,0.960411,265317682,0.16249761197867407,14.3,25.0,17.1,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,HTX,54,1593237473,1.77e-06,17258368,0.010832263421160443,2.3,-1.6,-3.8,True,TOP_200_MARKET_CAP,True
2026-08-22T06:56:57.830958+00:00,B,TOP_200_MARKET_CAP,SKY,55,1567178387,0.066908,20256955,0.012925749339089118,3.0,28.2,5.1,True,TOP_200_MARKET_CAP,True
