symbol,settle_time,funding_rate
BTC_USDT,2026-08-08 08:00:00+00:00,5.3e-05
BTC_USDT,2026-08-08 16:00:00+00:00,5.7e-05
BTC_USDT,2026-08-09 00:00:00+00:00,4.4e-05
BTC_USDT,2026-08-09 08:00:00+00:00,6.7e-05
BTC_USDT,2026-08-09 16:00:00+00:00,6.9e-05
BTC_USDT,2026-08-10 00:00:00+00:00,7.5e-05
BTC_USDT,2026-08-10 08:00:00+00:00,7.8e-05
BTC_USDT,2026-08-10 16:00:00+00:00,5e-05
BTC_USDT,2026-08-11 00:00:00+00:00,2.3e-05
BTC_USDT,2026-08-11 08:00:00+00:00,2e-05
BTC_USDT,2026-08-11 16:00:00+00:00,8e-05
BTC_USDT,2026-08-12 00:00:00+00:00,0.0001
BTC_USDT,2026-08-12 08:00:00+00:00,8.5e-05
BTC_USDT,2026-08-12 16:00:00+00:00,6.6e-05
BTC_USDT,2026-08-13 00:00:00+00:00,6.5e-05
BTC_USDT,2026-08-13 08:00:00+00:00,7.3e-05
BTC_USDT,2026-08-13 16:00:00+00:00,7.9e-05
BTC_USDT,2026-08-14 00:00:00+00:00,8.5e-05
BTC_USDT,2026-08-14 08:00:00+00:00,6e-05
BTC_USDT,2026-08-14 16:00:00+00:00,6e-06
BTC_USDT,2026-08-15 00:00:00+00:00,6.8e-05
BTC_USDT,2026-08-15 08:00:00+00:00,6.4e-05
BTC_USDT,2026-08-15 16:00:00+00:00,5.3e-05
BTC_USDT,2026-08-16 00:00:00+00:00,9e-06
BTC_USDT,2026-08-16 08:00:00+00:00,1.8e-05
BTC_USDT,2026-08-16 16:00:00+00:00,5e-05
BTC_USDT,2026-08-17 00:00:00+00:00,3.8e-05
BTC_USDT,2026-08-17 08:00:00+00:00,7.1e-05
BTC_USDT,2026-08-17 16:00:00+00:00,9.3e-05
BTC_USDT,2026-08-18 00:00:00+00:00,5.1e-05
BTC_USDT,2026-08-18 08:00:00+00:00,4.9e-05
BTC_USDT,2026-08-18 16:00:00+00:00,3.6e-05
BTC_USDT,2026-08-19 00:00:00+00:00,1.6e-05
BTC_USDT,2026-08-19 08:00:00+00:00,3.8e-05
