signals,symbols,gross_mean,gross_median,net_mean,net_median,net_positive_rate,net_profit_factor,net_max_drawdown,mfe_mean,mfe_median,mae_mean,mae_median,mfe_mae_ratio,stop_hit_rate,target_hit_rate,ambiguous_rate,research_horizon_exit_rate,p10_net,p25_net,p75_net,p90_net,policy,sector
9,2,0.014403089174683494,-0.043174216135112964,0.014203089174683492,-0.04337421613511296,0.4444444444444444,1.5435005824324102,-0.13708321761826614,0.07265932922992066,0.07055906009259516,-0.048182166489021246,-0.04843218717616671,1.5080129127542814,0.5555555555555556,0.4444444444444444,0.0,0.0,-0.04818730786358605,-0.04760343703882499,0.07715629883933503,0.09323827385861783,B_ATR_2x_4x,Financials
20,2,-0.001887066325207154,-0.036144670357111774,-0.002087066325207157,-0.03634467035711177,0.4,0.9353513030624608,-0.28283913753731527,0.050337530508015225,0.048240076551150035,-0.04753325434038917,-0.044056186563966426,1.0589960903485467,0.6,0.3,0.0,0.1,-0.06252829753290078,-0.04886791901979611,0.06818116529576854,0.08439142558815285,B_ATR_2x_4x,Healthcare
11,1,0.03011378622734474,0.06128922729485109,0.02991378622734474,0.06108922729485109,0.6363636363636364,2.9476228139650065,-0.06192503025611418,0.06254978790751174,0.07214937109404729,-0.028611722353796568,-0.019061602580257575,2.1861594745697595,0.2727272727272727,0.6363636363636364,0.0,0.09090909090909091,-0.044710603797566216,-0.03115738169783041,0.06954061564144484,0.08137223810098224,B_ATR_2x_4x,Industrials
25,3,0.048979683504179874,0.0864040276251925,0.04877968350417986,0.0862040276251925,0.56,2.5022078661469296,-0.25353873072947275,0.10411533022409537,0.1000149642692778,-0.052504016732725985,-0.06311238669011876,1.9829974295890362,0.4,0.56,0.0,0.04,-0.08509306936334199,-0.06581889760641138,0.14357578333371632,0.17993916658237916,B_ATR_2x_4x,Technology
12,2,0.014487189279753463,0.01917047137292338,0.01428718927975346,0.018970471372923382,0.5833333333333334,2.065102764807451,-0.11030796911538576,0.05037929408401844,0.05936644169693439,-0.027443276482205108,-0.029182701669169975,1.8357609054693456,0.16666666666666666,0.0,0.0,0.0,-0.04503482247565725,-0.021427435445337616,0.049968379516826734,0.06949353534265579,C_ATR_2x_4x_MAX10D,Consumer
13,1,0.002208474578723376,0.004182851067896287,0.0020084745787233758,0.0039828510678962875,0.6153846153846154,1.1588554703158178,-0.08414803356125922,0.027577578701454036,0.036968541799068166,-0.02045582237771579,-0.011404541940891244,1.3481530193328506,0.38461538461538464,0.07692307692307693,0.0,0.0,-0.036860941103830445,-0.028030584125565382,0.030638723137973202,0.04131421158401335,C_ATR_2x_4x_MAX10D,Defensive
15,1,0.016968709567394914,0.014644020829231996,0.016768709567394912,0.014444020829231996,0.6,2.912154386272152,-0.08204829562066773,0.04138894936336648,0.037511226912065876,-0.02016404064193899,-0.013615668612530829,2.052611879648864,0.2,0.2,0.0,0.0,-0.035803542542763495,-0.006288745614796442,0.04361051688970428,0.07250727647498106,C_ATR_2x_4x_MAX10D,Energy
9,2,0.016516434765389124,0.023703807093577334,0.01631643476538912,0.023503807093577335,0.7777777777777778,3.2885724043670024,-0.04914553603027738,0.0419646732401624,0.03926704542142678,-0.02642832208275234,-0.022425887161365177,1.5878674820430387,0.1111111111111111,0.0,0.0,0.0,-0.021845260251051244,0.007269168836714113,0.03424355888341111,0.05030982059440621,C_ATR_2x_4x_MAX10D,Financials
20,2,-0.004139939968759965,-0.01138563970949169,-0.0043399399687599665,-0.01158563970949169,0.4,0.79027406959614,-0.1660105967013965,0.037390779876491864,0.02470999877429103,-0.0383629540460778,-0.041782881212528544,0.9746585164318093,0.35,0.1,0.0,0.0,-0.05122440994478868,-0.036454759626229814,0.017998636783087753,0.06337433630565116,C_ATR_2x_4x_MAX10D,Healthcare
11,1,0.013536360087245286,0.012178377662200424,0.013336360087245286,0.011978377662200423,0.5454545454545454,2.1456068262445616,-0.044710603797566306,0.03958553198090868,0.026245839782867098,-0.02667659304204857,-0.019061602580257575,1.483905081826326,0.2727272727272727,0.18181818181818182,0.0,0.0,-0.03585528666153772,-0.021846132201455724,0.04933900983567494,0.059979735372734246,C_ATR_2x_4x_MAX10D,Industrials
25,3,0.0377059731186555,0.0437938965802156,0.03750597311865549,0.0435938965802156,0.56,2.4190248823193534,-0.1969080604462471,0.09022623688596827,0.09418636860118457,-0.04572397838414389,-0.043622530275408966,1.9732805428246993,0.28,0.32,0.0,0.0,-0.07192207337297137,-0.05935954780576871,0.10528311115759956,0.15227458487490425,C_ATR_2x_4x_MAX10D,Technology
