signals,symbols,gross_mean,gross_median,net_mean,net_median,net_positive_rate,net_profit_factor,net_max_drawdown,mfe_mean,mfe_median,mae_mean,mae_median,mfe_mae_ratio,stop_hit_rate,target_hit_rate,ambiguous_rate,research_horizon_exit_rate,p10_net,p25_net,p75_net,p90_net,policy,symbol
7,1,0.029488298312101376,0.06763405682068191,0.02928829831210138,0.0674340568206819,0.5714285714285714,2.3460947995481884,-0.14502877957109395,0.06998833827219102,0.0709463634008074,-0.04249470310038434,-0.0367184177436376,1.646989699089297,0.42857142857142855,0.5714285714285714,0.0,0.0,-0.053090167228250905,-0.04013585694394325,0.08987876567647021,0.10006470234538123,B_ATR_2x_4x,AMZN
4,1,0.028091368075404077,0.01898097365336715,0.02789136807540407,0.018780973653367148,0.5,2.031617435067023,-0.10525176525596214,0.07316857317919978,0.07034326496383625,-0.04207671873060914,-0.03984405094784821,1.7389324877648444,0.25,0.5,0.0,0.25,-0.05624548537567211,-0.051357582124606026,0.09802992385337725,0.11931653706410981,B_ATR_2x_4x,GOOGL
5,1,-0.04306497100316997,-0.04475011055498601,-0.04326497100316997,-0.04495011055498601,0.0,0.0,-0.17254358676474624,0.03985279794812158,0.04535259990922791,-0.04616042984299418,-0.04501632678806222,0.863354134345655,1.0,0.0,0.0,0.0,-0.054484380201961335,-0.04653625303148314,-0.03353341230720965,-0.03232653340681841,B_ATR_2x_4x,HD
11,1,0.03011378622734474,0.06128922729485109,0.02991378622734474,0.06108922729485109,0.6363636363636364,2.9476228139650065,-0.06192503025611418,0.06254978790751174,0.07214937109404729,-0.028611722353796568,-0.019061602580257575,2.1861594745697595,0.2727272727272727,0.6363636363636364,0.0,0.09090909090909091,-0.044710603797566216,-0.03115738169783041,0.06954061564144484,0.08137223810098224,B_ATR_2x_4x,HON
11,1,0.06352112655217429,0.0905640422517433,0.06332112655217428,0.0903640422517433,0.6363636363636364,3.1174974188917135,-0.11327190137866416,0.11805711315439656,0.1000149642692778,-0.05724212635309483,-0.06311238669011876,2.062416626981463,0.36363636363636365,0.6363636363636364,0.0,0.0,-0.08676590059526548,-0.06445175807019668,0.16224808508490426,0.18895035479233477,B_ATR_2x_4x,INTC
4,1,0.01778470154735276,0.01659488578504098,0.017584701547352758,0.016394885785040978,0.5,1.7702287689719904,-0.04337421613511294,0.06572233316582138,0.07042467915008344,-0.03588101525910156,-0.03294451245924196,1.8316742904634027,0.5,0.5,0.0,0.0,-0.04657569041587312,-0.04451759980681302,0.07849718713920675,0.08269694612042806,B_ATR_2x_4x,JPM
7,1,-0.016693556401557865,-0.05848087556690873,-0.01689355640155787,-0.05868087556690873,0.2857142857142857,0.6717379770222344,-0.27795697214722226,0.05364903101371467,0.021255468893027762,-0.06557554544653867,-0.05872383726288699,0.8181255778871523,0.7142857142857143,0.2857142857142857,0.0,0.0,-0.09459585455795845,-0.07310852628886774,0.029069798128908392,0.11809585226564788,B_ATR_2x_4x,LLY
5,1,0.011697799276548081,-0.0469225569156122,0.011497799276548083,-0.0471225569156122,0.4,1.399585633021684,-0.13708321761826614,0.07820892608120009,0.07055906009259516,-0.058023087472956994,-0.048572679614026115,1.347893217810086,0.6,0.4,0.0,0.0,-0.048528696433696505,-0.04760343703882499,0.07715629883933503,0.10538505605260606,B_ATR_2x_4x,MS
13,1,0.0060856591005201514,-0.03333350326388018,0.00588565910052015,-0.03353350326388018,0.46153846153846156,1.2680750931201632,-0.1190195932413326,0.04855441485110014,0.05296988494671262,-0.037818174514000984,-0.03975620968876348,1.2838910252826825,0.5384615384615384,0.3076923076923077,0.0,0.15384615384615385,-0.04680143951164171,-0.036724485833513086,0.06676496881429414,0.07302064243187335,B_ATR_2x_4x,PFE
13,1,-0.015818971522481386,-0.027830584125565383,-0.016018971522481388,-0.028030584125565382,0.23076923076923078,0.35324384168068534,-0.204057276483961,0.030934044484160372,0.037261649711644695,-0.03236735539534508,-0.035593767279912036,0.9557173919933281,0.7692307692307693,0.15384615384615385,0.0,0.07692307692307693,-0.0386666395602421,-0.03506230126586176,-0.025006601888561762,0.038684715059192874,B_ATR_2x_4x,PG
