filter,conditions,train_signals,train_5d_mean,train_5d_median,train_positive_rate,oos_signals,oos_mean_lift,oos_median_lift,oos_positive_rate_lift,positive_mean_periods,positive_median_periods,positive_rate_periods,holdout_mean_lift,holdout_median_lift,holdout_positive_rate_lift,symbols_tested,symbols_positive_lift,symbol_positive_lift_rate,symbol_lift_median,regime_positive_lift_rate,mfe_5d_mean,mae_5d_mean,mfe_mae_ratio,oos_lift_score,consistency_score,stability_score,efficiency_score,survivability_score,robust
BULL_DIV_RSI_VOLUME,BULL_RSI_DIV + REL_VOLUME_GE_1,297,0.0126660174258602,0.0125351376086813,0.6397306397306397,101,-6.896270057828978e-05,-0.0003573645904280332,-0.019303857934364215,1,1,1,0.0038961466224433725,-0.00242881745807,-0.03548704741705799,21,8,0.38095238095238093,-0.010605849623475671,0.0,0.029940386713854673,-0.03242496509049248,0.923374524237612,49.65518649710855,34.76190476190476,80.3080168559451,46.1687262118806,51.36514007802932,False
BULL_DIV_RSI_TREND,BULL_RSI_DIV + TREND_50200_BULL,420,0.0030500535024823,0.0050841393476971,0.5476190476190477,246,-0.0019021353865575866,0.0010823381528394336,0.0004554132954952735,2,2,2,0.0003106328905136894,-0.0011411749765723,-0.01791558137981697,24,11,0.4583333333333333,-0.0032338140578342797,0.5,0.02733817136838489,-0.0317698978273467,0.8605054859462878,40.48932306721207,60.416666666666664,55.03890407967597,43.02527429731439,48.88826541558896,False
BREAKOUT20_ATR25,BREAKOUT_20 + BREAKOUT20_ATR_GE_025,883,0.002655916840564,0.005347380976046,0.5764439411098528,279,-0.0018399743926443151,-0.00028926701720111717,-0.01514431048769869,1,1,1,-0.004351154179930563,0.0034689626484582002,0.03992646533875921,27,9,0.3333333333333333,-0.0027774928655754086,0.5,0.03155888367082237,-0.032147676419149694,0.9816847494465699,40.800128036778425,33.33333333333333,77.45436021039558,49.084237472328496,47.92109768275059,False
RSI_GT_55,RSI_GT_55,2440,0.0032476967650119,0.0050239373844558,0.5713114754098361,677,-0.003731592137837249,-0.002687884694894567,-0.026702112405511402,1,1,1,-0.004760313055317164,-0.0039289826004486,-0.04893295110686413,27,9,0.3333333333333333,-0.004116246435984773,0.0,0.029474024965812928,-0.03236770348622666,0.910599819920957,31.342039310813753,33.33333333333333,82.29826652330148,45.52999099604785,44.868698595988015,False
BREAKOUT_20,BREAKOUT_20,1367,0.0016762400199796,0.0042546725421668,0.5610826627651793,432,-0.0028374643297483133,-0.0004845675026712495,-0.014940584517382338,1,1,1,-0.0024687308863427454,0.0015326562885439,0.028432212465196005,27,9,0.3333333333333333,-0.003463546114340122,0.25,0.03080826332158071,-0.03256749589828582,0.9459819513849171,35.812678351258434,33.33333333333333,69.43272256988071,47.29909756924586,44.2141347840991,False
RSI_GT_50,RSI_GT_50,3366,0.0042066093575502,0.0053770762987338,0.5739750445632799,969,-0.0027663456304577116,-0.0019547278236541833,-0.02620613240687571,1,0,1,-0.0032611480513449393,-0.0034725965352967,-0.03534011823692279,27,6,0.2222222222222222,-0.0033839679858645565,0.5,0.029990078443301305,-0.032878556369970745,0.912147057365706,36.16827184771144,18.333333333333332,87.17377348125319,45.607352868285304,43.79845374994004,False
TREND_50200_BULL,TREND_50200_BULL,3760,0.0032856055993557,0.0048547897288626,0.5587765957446809,1453,-0.003407783196117552,-0.001813348897502967,-0.026405817771894362,0,1,1,-0.0028338714863653572,-0.001363837907839,-0.022364281681051867,26,2,0.07692307692307693,0.0,0.0,0.029725627846998105,-0.03275881820638684,0.9074084315166971,32.96108401941224,13.974358974358974,80.22949087534322,45.370421575834854,40.14995164061964,False
TREND_2150_BULL,TREND_2150_BULL,3143,0.0039345871955343,0.0054451038575666,0.5742920776328349,895,-0.005047319960288424,-0.0019934805404771667,-0.03535554133920832,1,1,1,-0.004561524236896862,-0.0032696976776064503,-0.032167665110808874,27,7,0.25925925925925924,-0.006314893827338392,0.0,0.02808957620044809,-0.032643400872341154,0.8604978479508999,24.76340019855788,31.111111111111107,72.69327229176645,43.024892397544996,39.58860078513533,False
TREND_STACK,TREND_STACK,2310,0.0029135590927202,0.0048980885990345,0.5658008658008657,604,-0.006343269047036898,-0.004123032149961667,-0.05240073862769725,1,1,1,-0.007970621604641081,-0.0063000754055703,-0.09085949303340601,27,7,0.25925925925925924,-0.0072898380175885425,0.0,0.027142280736550062,-0.03325223359776248,0.816254362485185,18.28365476481551,31.111111111111107,77.09547359869853,40.81271812425925,37.75869529005476,False
EMA38_REGIME,EMA38_CROSSOVER + TREND_50200_BULL,584,0.0048467255148819,0.0057919188199753,0.5856164383561644,223,-0.0056631958357830255,-0.0037880942870357833,-0.05707019023594021,0,1,0,-0.007970130924508375,-0.0071703652672636,-0.09472049689440992,25,9,0.36,-0.002488723688230645,0.5,0.029281040191102174,-0.03353265761713912,0.8732096490955172,21.68402082108487,22.466666666666665,79.07407088970132,43.66048245477586,37.75298462294181,False
BREAKOUT_50,BREAKOUT_50,985,0.0005199884155492,0.0035160620105483,0.550253807106599,310,-0.00501900616585853,-0.0012376411747376831,-0.03528552967001919,1,2,2,-0.0011614071588562686,0.0015326562885439,0.03861283643892344,27,10,0.37037037037037035,-0.00319217708424694,0.6666666666666666,0.02899812054560533,-0.03407544071101915,0.8509976669568959,24.904969170707346,46.11111111111111,42.72649031868173,42.5498833478448,37.299791720830655,False
EMA38_TREND,EMA38_CROSSOVER + TREND_2150_BULL,502,0.0041110127507151,0.0057834375363111,0.5776892430278885,141,-0.006105353342816895,-0.00427989800817615,-0.044631277704452355,0,0,0,-0.004345844273108138,-0.0039032146378958,-0.05270369017172083,26,10,0.38461538461538464,-0.008636632855832126,0.0,0.029239630769822434,-0.031353376311934474,0.932583160388138,19.473233285915526,11.538461538461538,87.96628160779258,46.6291580194069,36.61933496012572,False
BREAKOUT20_TREND,BREAKOUT_20 + TREND_50200_BULL,1088,0.0006330266387567,0.0045153352010216,0.5588235294117647,384,-0.005583659556863717,-0.002943349176900966,-0.06022692009208438,1,1,1,-0.00337520399020813,0.0006282107021656999,0.016390614216701183,24,8,0.3333333333333333,-0.0029083590216491925,0.0,0.028748457507047687,-0.033987257207857245,0.8458598859928467,22.081702215681414,33.33333333333333,58.023696574983234,42.29299429964233,36.125267283746936,False
BREAKOUT20_VOLUME_ATR,BREAKOUT_20 + REL_VOLUME_GE_1_5 + BREAKOUT20_ATR_GE_025,252,0.0046645789664393,0.0069400705807571,0.6150793650793651,78,-0.01012376941781503,-0.0016966085033704326,0.0061025439426259,1,2,2,-0.027547856954647554,-0.01356914367673895,-0.07329192546583846,19,9,0.47368421052631576,-0.003956458434738984,0.0,0.03761128034771267,-0.04487836766986283,0.8380714874567458,0.0,49.21052631578947,26.404899908119226,41.90357437283729,25.964326435138673,False
BREAKOUT20_VOL15,BREAKOUT_20 + REL_VOLUME_GE_1_5,305,0.0034999085303222,0.0056776600014165,0.5934426229508196,91,-0.011643450980569335,-0.0027019068547675163,-0.004128728053351978,1,2,2,-0.03582177688025963,-0.018946697853056547,-0.11420101637492935,19,7,0.3684210526315789,-0.00905168607771275,0.25,0.035961658114609774,-0.04563648765654224,0.7880023192243734,0.0,46.05263157894737,18.728951034842304,39.40011596121867,23.138971293949037,False
BREAKOUT20_TREND_VOLUME,BREAKOUT_20 + TREND_50200_BULL + REL_VOLUME_GE_1_5,255,0.0027190746802574,0.0056776600014165,0.6,72,-0.021803665465983044,-0.010694227490605083,-0.15068743250679326,0,1,1,-0.05968274898553984,-0.0218375788278051,-0.2566252587991718,17,6,0.35294117647058826,-0.01149954770270246,0.0,0.030580513917807823,-0.052178030134914156,0.5860802686252681,0.0,22.254901960784313,13.76096872164155,29.304013431263403,14.17672192077707,False
